1,SENTENCE,LOW,NUM1,나
2,SENTENCE,LOW,NUM1,너
3,SENTENCE,LOW,NUM1,우리
4,SENTENCE,LOW,NUM1,아버지
5,SENTENCE,LOW,NUM1,어머니
6,SENTENCE,LOW,NUM1,아기
7,SENTENCE,LOW,NUM1,가족
8,SENTENCE,LOW,NUM1,우리는
9,SENTENCE,LOW,NUM1,하나
10,SENTENCE,LOW,NUM1,선생님
11,SENTENCE,LOW,NUM2,정다운
12,SENTENCE,LOW,NUM2,내 친구
13,SENTENCE,LOW,NUM2,고마우신
14,SENTENCE,LOW,NUM2,학교
15,SENTENCE,LOW,NUM2,즐거운
16,SENTENCE,LOW,NUM2,모두 모여
17,SENTENCE,LOW,NUM2,우리는 하나
18,SENTENCE,LOW,NUM2,거미
19,SENTENCE,LOW,NUM2,나무
20,SENTENCE,LOW,NUM2,나비
21,SENTENCE,LOW,NUM3,노루
22,SENTENCE,LOW,NUM3,너구리
23,SENTENCE,LOW,NUM3,바나나
24,SENTENCE,LOW,NUM3,고추
25,SENTENCE,LOW,NUM3,오리
26,SENTENCE,LOW,NUM3,하마
27,SENTENCE,LOW,NUM3,고구마
28,SENTENCE,LOW,NUM3,다리미
29,SENTENCE,LOW,NUM3,피아노
30,SENTENCE,LOW,NUM3,그림
31,SENTENCE,LOW,NUM4,나의 꿈
32,SENTENCE,LOW,NUM4,어머니께
33,SENTENCE,LOW,NUM4,그림을
34,SENTENCE,LOW,NUM4,잘 그립니다.
35,SENTENCE,LOW,NUM4,화가가
36,SENTENCE,LOW,NUM4,되고 싶습니다.
37,SENTENCE,LOW,NUM4,피아노를
38,SENTENCE,LOW,NUM4,칩니다.
39,SENTENCE,LOW,NUM4,낱말을
40,SENTENCE,LOW,NUM4,인사를 합니다.
41,SENTENCE,LOW,NUM5,방글방글
42,SENTENCE,LOW,NUM5,히죽히죽
43,SENTENCE,LOW,NUM5,방긋방긋
44,SENTENCE,LOW,NUM5,춤을 추어요
45,SENTENCE,LOW,NUM5,고래를 끄덕끄덕
46,SENTENCE,LOW,NUM5,어깨를 으쓱으쓱
47,SENTENCE,LOW,NUM5,엉덩이를 흔들흔들
48,SENTENCE,LOW,NUM5,덩실덩실
49,SENTENCE,LOW,NUM5,신나게
50,SENTENCE,LOW,NUM5,바꾸어 봅시다.
51,SENTENCE,MIDDLE,NUM1,도망을 칩니다.
52,SENTENCE,MIDDLE,NUM1,쫓아가며
53,SENTENCE,MIDDLE,NUM1,침을 쏘아 댑니다.
54,SENTENCE,MIDDLE,NUM1,깡충깡충
55,SENTENCE,MIDDLE,NUM1,오릅니다.
56,SENTENCE,MIDDLE,NUM1,소리 내어 웁니다.
57,SENTENCE,MIDDLE,NUM1,심심해서 그랬어요.
58,SENTENCE,MIDDLE,NUM1,오후입니다.
59,SENTENCE,MIDDLE,NUM1,밭을 매러
60,SENTENCE,MIDDLE,NUM1,철이가 혼자서
61,SENTENCE,MIDDLE,NUM2,눈부터 생글생글
62,SENTENCE,MIDDLE,NUM2,대답하지요
63,SENTENCE,MIDDLE,NUM2,비눗방울 날아라
64,SENTENCE,MIDDLE,NUM2,어떻게 해
